order_id,order_date,customer_id,product_id,salesperson_id,region_id,quantity,unit_price,discount_pct,revenue,cost,gross_profit,order_status
1,2024-02-18,13,7,10,3,2,849,0.05,1613.1,1160,453.1,Completed
2,2023-03-30,9,13,9,9,1,449,0.2,359.2,299,60.2,Completed
3,2024-03-07,24,20,10,4,3,289,0.15,736.95,597,139.95,Cancelled
4,2023-08-06,5,15,3,10,3,219,0,657,447,210,Cancelled
5,2024-06-25,22,3,8,6,4,229,0,916,640,276,Completed
6,2024-07-25,1,14,4,6,5,649,0,3245,2245,1000,Completed
7,2024-06-15,29,7,10,8,1,849,0.1,764.1,580,184.1,Completed
8,2023-08-10,30,6,8,10,2,459,0,918,640,278,Completed
9,2023-04-23,1,6,8,7,1,459,0.15,390.15,320,70.15,Cancelled
10,2023-03-30,5,10,10,1,4,159,0.1,572.4,440,132.4,Completed
11,2024-06-19,13,7,1,4,4,849,0.05,3226.2,2320,906.2,Returned
12,2024-02-18,27,5,6,8,1,129,0,129,90,39,Cancelled
13,2024-09-06,25,5,10,7,1,129,0,129,90,39,Completed
14,2023-05-28,10,6,3,7,2,459,0.05,872.1,640,232.1,Returned
15,2023-11-23,25,16,4,5,1,419,0.1,377.1,280,97.1,Completed
16,2024-11-25,3,17,5,1,5,119,0,595,425,170,Completed
17,2023-08-10,13,13,6,7,4,449,0.15,1526.6,1196,330.6,Completed
18,2024-07-01,3,6,1,6,4,459,0.2,1468.8,1280,188.8,Completed
19,2023-11-15,28,8,5,2,3,59,0.05,168.15,114,54.15,Cancelled
20,2024-11-21,23,8,7,5,4,59,0,236,152,84,Completed
21,2024-03-07,30,9,2,9,3,65,0.1,175.5,135,40.5,Completed
22,2024-06-30,5,9,7,5,4,65,0,260,180,80,Completed
23,2024-01-24,22,20,10,8,2,289,0.15,491.3,398,93.3,Completed
24,2023-07-22,12,1,6,5,2,1399,0,2798,1900,898,Cancelled
25,2023-09-25,22,14,4,7,3,649,0.15,1654.95,1347,307.95,Completed
26,2023-04-26,17,18,4,1,5,179,0.05,850.25,600,250.25,Cancelled
27,2023-06-21,17,15,4,5,4,219,0.2,700.8,596,104.8,Returned
28,2024-06-27,21,20,10,5,2,289,0,578,398,180,Completed
29,2023-11-11,3,19,1,1,4,79,0.05,300.2,220,80.2,Completed
30,2024-07-24,21,19,10,5,2,79,0,158,110,48,Completed
31,2024-02-13,26,6,5,8,3,459,0,1377,960,417,Completed
32,2024-04-02,28,13,7,9,2,449,0.1,808.2,598,210.2,Completed
33,2023-08-01,9,15,10,7,2,219,0.2,350.4,298,52.4,Returned
34,2024-10-02,29,16,3,2,5,419,0.05,1990.25,1400,590.25,Completed
35,2024-06-19,1,4,6,8,1,649,0.1,584.1,450,134.1,Cancelled
36,2023-01-05,19,18,5,1,5,179,0.1,805.5,600,205.5,Completed
37,2023-09-25,6,5,10,1,4,129,0,516,360,156,Completed
38,2023-12-17,17,8,9,5,2,59,0.2,94.4,76,18.4,Completed
39,2024-12-13,25,14,4,4,1,649,0.2,519.2,449,70.2,Completed
40,2023-10-07,9,12,2,9,2,109,0,218,150,68,Cancelled
41,2023-12-29,21,18,2,2,2,179,0,358,240,118,Completed
42,2024-07-12,3,2,9,7,2,999,0.1,1798.2,1400,398.2,Cancelled
43,2023-08-26,20,20,10,3,3,289,0,867,597,270,Completed
44,2024-10-02,14,7,5,3,1,849,0,849,580,269,Completed
45,2024-10-20,17,1,4,7,1,1399,0.05,1329.05,950,379.05,Returned
46,2024-03-30,24,20,2,3,2,289,0.2,462.4,398,64.4,Completed
47,2023-09-17,11,19,1,10,4,79,0,316,220,96,Completed
48,2023-06-12,5,1,5,9,3,1399,0.05,3987.15,2850,1137.15,Completed
49,2024-05-19,14,3,1,6,2,229,0.1,412.2,320,92.2,Completed
50,2024-11-10,11,2,7,5,5,999,0.05,4745.25,3500,1245.25,Returned
51,2023-06-04,23,1,5,7,4,1399,0.05,5316.2,3800,1516.2,Completed
52,2024-06-20,14,2,4,4,3,999,0,2997,2100,897,Returned
53,2023-04-07,14,1,10,1,2,1399,0,2798,1900,898,Completed
54,2024-10-06,10,2,5,3,5,999,0.15,4245.75,3500,745.75,Completed
55,2023-01-04,30,2,9,7,4,999,0,3996,2800,1196,Completed
56,2024-08-25,8,11,7,3,4,189,0,756,520,236,Completed
57,2024-05-29,6,8,10,8,2,59,0,118,76,42,Completed
58,2024-09-18,7,6,3,8,2,459,0,918,640,278,Cancelled
59,2023-09-20,6,17,9,9,1,119,0.05,113.05,85,28.05,Completed
60,2024-06-21,8,14,7,9,5,649,0,3245,2245,1000,Completed
61,2023-09-14,11,19,6,8,2,79,0,158,110,48,Cancelled
62,2023-01-31,2,14,1,6,2,649,0,1298,898,400,Cancelled
63,2023-10-27,6,9,5,1,5,65,0.05,308.75,225,83.75,Completed
64,2024-01-09,4,6,6,7,2,459,0.05,872.1,640,232.1,Returned
65,2023-09-24,7,15,1,1,3,219,0.05,624.15,447,177.15,Completed
66,2024-09-14,3,13,1,6,3,449,0.15,1144.95,897,247.95,Completed
67,2024-07-05,5,3,1,1,2,229,0.05,435.1,320,115.1,Completed
68,2023-12-18,20,9,2,1,4,65,0,260,180,80,Cancelled
69,2024-03-22,3,12,8,7,5,109,0.15,463.25,375,88.25,Returned
70,2024-10-22,9,11,6,2,3,189,0.05,538.65,390,148.65,Completed
71,2023-02-04,8,9,6,10,1,65,0.05,61.75,45,16.75,Completed
72,2024-09-28,20,8,4,8,4,59,0,236,152,84,Returned
73,2023-09-26,3,13,2,1,3,449,0.2,1077.6,897,180.6,Cancelled
74,2024-03-28,14,11,9,4,5,189,0,945,650,295,Completed
75,2024-02-12,25,7,2,10,3,849,0.2,2037.6,1740,297.6,Cancelled
76,2024-05-16,11,20,2,1,1,289,0,289,199,90,Cancelled
77,2023-05-13,28,14,4,7,5,649,0,3245,2245,1000,Completed
78,2023-05-05,26,11,4,4,1,189,0,189,130,59,Completed
79,2023-10-21,6,5,5,3,4,129,0,516,360,156,Completed
80,2023-07-09,25,14,7,2,1,649,0.05,616.55,449,167.55,Returned
81,2023-11-08,9,6,5,2,1,459,0,459,320,139,Completed
82,2024-04-29,13,5,5,10,4,129,0.05,490.2,360,130.2,Returned
83,2023-11-10,27,15,5,9,3,219,0,657,447,210,Completed
84,2023-10-18,5,7,6,9,2,849,0.05,1613.1,1160,453.1,Returned
85,2023-12-30,20,17,2,4,5,119,0.15,505.75,425,80.75,Completed
86,2024-08-09,1,11,7,10,1,189,0,189,130,59,Completed
87,2023-04-01,14,15,2,2,1,219,0.05,208.05,149,59.05,Completed
88,2023-09-05,10,7,2,3,3,849,0.05,2419.65,1740,679.65,Completed
89,2024-07-22,22,7,2,10,1,849,0.1,764.1,580,184.1,Completed
90,2023-08-12,10,13,6,9,1,449,0.2,359.2,299,60.2,Cancelled
91,2023-09-14,16,18,10,6,2,179,0.1,322.2,240,82.2,Completed
92,2023-02-14,23,11,9,4,2,189,0.15,321.3,260,61.3,Cancelled
93,2024-05-02,6,20,6,9,2,289,0.05,549.1,398,151.1,Completed
94,2023-01-17,20,19,6,3,2,79,0.15,134.3,110,24.3,Completed
95,2023-03-11,18,11,9,5,3,189,0,567,390,177,Returned
96,2023-12-03,23,4,9,5,1,649,0.1,584.1,450,134.1,Completed
97,2023-07-23,21,6,1,3,1,459,0.2,367.2,320,47.2,Completed
98,2024-03-15,28,18,9,7,3,179,0.15,456.45,360,96.45,Completed
99,2023-04-18,30,7,6,3,1,849,0.05,806.55,580,226.55,Cancelled
100,2023-04-11,30,1,6,7,3,1399,0.05,3987.15,2850,1137.15,Returned
101,2023-05-08,20,10,5,7,2,159,0,318,220,98,Cancelled
102,2023-05-13,10,1,9,9,5,1399,0.05,6645.25,4750,1895.25,Completed
103,2023-09-10,14,17,9,3,3,119,0.05,339.15,255,84.15,Completed
104,2024-01-29,3,12,1,8,2,109,0.2,174.4,150,24.4,Cancelled
105,2023-03-09,16,10,4,9,1,159,0,159,110,49,Completed
106,2023-03-13,30,12,9,3,3,109,0,327,225,102,Completed
107,2023-01-16,27,7,1,8,2,849,0.2,1358.4,1160,198.4,Completed
108,2024-10-12,23,1,4,1,5,1399,0.05,6645.25,4750,1895.25,Completed
109,2024-10-17,14,6,3,9,4,459,0.05,1744.2,1280,464.2,Returned
110,2023-01-22,25,2,5,1,1,999,0.05,949.05,700,249.05,Returned
111,2024-02-07,28,12,8,3,3,109,0.1,294.3,225,69.3,Cancelled
112,2023-06-03,23,2,6,10,3,999,0.05,2847.15,2100,747.15,Cancelled
113,2024-02-29,22,9,3,9,3,65,0.2,156.0,135,21.0,Completed
114,2024-02-03,23,14,5,10,3,649,0.2,1557.6,1347,210.6,Completed
115,2024-07-24,6,1,5,4,2,1399,0,2798,1900,898,Completed
116,2024-06-25,28,8,5,5,3,59,0.15,150.45,114,36.45,Completed
117,2024-02-15,6,9,6,3,1,65,0,65,45,20,Returned
118,2024-04-19,15,9,8,6,2,65,0.1,117.0,90,27.0,Returned
119,2023-05-25,23,20,1,9,4,289,0,1156,796,360,Completed
120,2023-08-06,17,4,7,6,4,649,0.1,2336.4,1800,536.4,Completed
121,2023-08-09,23,3,2,4,2,229,0.15,389.3,320,69.3,Completed
122,2023-09-08,23,14,4,6,1,649,0,649,449,200,Completed
123,2023-02-27,3,16,7,4,3,419,0.2,1005.6,840,165.6,Completed
124,2024-06-01,1,6,9,7,5,459,0.15,1950.75,1600,350.75,Completed
125,2023-10-11,24,6,10,3,4,459,0.1,1652.4,1280,372.4,Cancelled
126,2023-05-20,16,15,8,3,4,219,0.2,700.8,596,104.8,Returned
127,2024-09-02,10,18,8,10,4,179,0,716,480,236,Completed
128,2023-02-04,30,15,4,2,3,219,0.2,525.6,447,78.6,Completed
129,2024-01-26,14,11,1,4,2,189,0,378,260,118,Returned
130,2024-03-15,18,1,2,3,5,1399,0.05,6645.25,4750,1895.25,Completed
131,2023-08-14,25,9,1,6,1,65,0,65,45,20,Completed
132,2023-02-09,7,8,10,4,2,59,0,118,76,42,Completed
133,2024-04-17,9,16,6,6,3,419,0.1,1131.3,840,291.3,Completed
134,2023-10-27,1,15,2,3,5,219,0,1095,745,350,Completed
135,2024-02-14,30,10,6,6,2,159,0.2,254.4,220,34.4,Completed
136,2024-10-31,10,16,8,1,4,419,0,1676,1120,556,Completed
137,2024-07-02,20,3,6,2,1,229,0.15,194.65,160,34.65,Cancelled
138,2024-01-18,23,1,3,6,3,1399,0.1,3777.3,2850,927.3,Returned
139,2023-12-14,22,9,6,5,4,65,0,260,180,80,Returned
140,2023-08-25,22,10,9,2,1,159,0.2,127.2,110,17.2,Completed
141,2023-03-25,22,7,2,6,4,849,0.1,3056.4,2320,736.4,Completed
142,2023-09-09,2,5,9,5,5,129,0.15,548.25,450,98.25,Completed
143,2024-10-28,1,11,6,4,4,189,0.05,718.2,520,198.2,Completed
144,2023-07-03,6,19,1,1,2,79,0,158,110,48,Completed
145,2023-12-29,16,5,1,3,3,129,0.1,348.3,270,78.3,Returned
146,2023-09-23,8,11,4,1,2,189,0.05,359.1,260,99.1,Completed
147,2023-04-26,27,20,2,9,2,289,0,578,398,180,Cancelled
148,2024-08-28,22,7,6,8,4,849,0.1,3056.4,2320,736.4,Completed
149,2024-09-22,27,8,4,7,5,59,0.2,236.0,190,46.0,Completed
150,2024-03-02,28,7,8,4,3,849,0,2547,1740,807,Cancelled
151,2023-08-12,28,11,8,4,1,189,0,189,130,59,Completed
152,2023-02-02,7,9,7,1,1,65,0,65,45,20,Completed
153,2023-01-17,8,3,2,2,1,229,0,229,160,69,Completed
154,2023-10-03,26,12,6,3,4,109,0.15,370.6,300,70.6,Returned
155,2023-02-18,14,6,8,4,5,459,0.2,1836.0,1600,236.0,Completed
156,2023-03-20,12,6,5,5,5,459,0,2295,1600,695,Cancelled
157,2023-08-10,22,7,1,9,5,849,0.1,3820.5,2900,920.5,Cancelled
158,2024-10-29,8,20,8,2,3,289,0.15,736.95,597,139.95,Cancelled
159,2023-08-05,4,2,3,8,1,999,0,999,700,299,Completed
160,2023-05-14,6,14,2,10,3,649,0,1947,1347,600,Completed
161,2023-08-02,27,17,9,1,5,119,0.2,476.0,425,51.0,Cancelled
162,2024-09-14,15,20,5,10,3,289,0.2,693.6,597,96.6,Completed
163,2024-07-27,25,15,9,6,4,219,0.05,832.2,596,236.2,Returned
164,2024-09-14,28,4,3,2,1,649,0,649,450,199,Returned
165,2023-08-30,29,17,3,9,5,119,0.15,505.75,425,80.75,Cancelled
166,2023-10-26,26,1,5,7,2,1399,0.1,2518.2,1900,618.2,Returned
167,2023-02-23,3,20,4,9,3,289,0.1,780.3,597,183.3,Completed
168,2023-06-08,21,16,6,10,4,419,0,1676,1120,556,Completed
169,2024-01-17,22,8,4,5,3,59,0.05,168.15,114,54.15,Returned
170,2024-06-03,19,4,8,10,2,649,0.2,1038.4,900,138.4,Completed
